Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""Object Repository/Page_Demo Web Shop. Gift Cards/h1_Gift Cards""), 0)",Chrome 116.0.0.0,,,2023-09-25 23:36:04,2023-09-25 23:36:04,0.352s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Demo Web Shop. Gift Cards/h1_Gift Cards""), ""Gift Cards"")",Chrome 116.0.0.0,,,2023-09-25 23:36:04,2023-09-25 23:36:05,0.355s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-25 23:36:05,2023-09-25 23:36:06,0.983s,PASSED
,,,,,,,
Test Cases/Categories - Jewelry,Chrome 116.0.0.0,,,2023-09-25 23:36:06,2023-09-25 23:36:16,10.819s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-25 23:36:06,2023-09-25 23:36:09,2.985s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 116.0.0.0,,,2023-09-25 23:36:09,2023-09-25 23:36:13,3.913s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Jewelry""))",Chrome 116.0.0.0,,,2023-09-25 23:36:13,2023-09-25 23:36:15,1.676s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Demo Web Shop. Jewelry/h1_Jewelry""), 0)",Chrome 116.0.0.0,,,2023-09-25 23:36:15,2023-09-25 23:36:15,0.389s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Demo Web Shop. Jewelry/h1_Jewelry""), ""Jewelry"")",Chrome 116.0.0.0,,,2023-09-25 23:36:15,2023-09-25 23:36:15,0.351s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-25 23:36:15,2023-09-25 23:36:16,1.131s,PASSED
