Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Top Menu,Chrome 116.0.0.0,,,2023-09-25 23:28:09,2023-09-25 23:29:23,1m - 14.099s,PASSED
,,,,,,,
Test Cases/Top Menu - Apparel and Shoes,Chrome 116.0.0.0,,,2023-09-25 23:28:09,2023-09-25 23:28:21,12.281s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-25 23:28:09,2023-09-25 23:28:14,4.605s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 116.0.0.0,,,2023-09-25 23:28:14,2023-09-25 23:28:18,3.952s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Apparel  Shoes""))",Chrome 116.0.0.0,,,2023-09-25 23:28:18,2023-09-25 23:28:19,1.548s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Demo Web Shop. Apparel  Shoes/h1_Apparel  Shoes""), 0)",Chrome 116.0.0.0,,,2023-09-25 23:28:19,2023-09-25 23:28:20,0.388s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Demo Web Shop. Apparel  Shoes/h1_Apparel  Shoes""), ""Apparel & Shoes"")",Chrome 116.0.0.0,,,2023-09-25 23:28:20,2023-09-25 23:28:20,0.373s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-25 23:28:20,2023-09-25 23:28:21,1.009s,PASSED
,,,,,,,
Test Cases/Top Menu - Books,Chrome 116.0.0.0,,,2023-09-25 23:28:21,2023-09-25 23:28:31,10.072s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-25 23:28:22,2023-09-25 23:28:24,2.358s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 116.0.0.0,,,2023-09-25 23:28:24,2023-09-25 23:28:28,4.077s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Books""))",Chrome 116.0.0.0,,,2023-09-25 23:28:28,2023-09-25 23:28:30,1.502s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Demo Web Shop. Books/h1_Books""), 0)",Chrome 116.0.0.0,,,2023-09-25 23:28:30,2023-09-25 23:28:30,0.394s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Demo Web Shop. Books/h1_Books""), ""Books"")",Chrome 116.0.0.0,,,2023-09-25 23:28:30,2023-09-25 23:28:30,0.379s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-25 23:28:30,2023-09-25 23:28:31,1.015s,PASSED
,,,,,,,
Test Cases/Top Menu - Computers,Chrome 116.0.0.0,,,2023-09-25 23:28:31,2023-09-25 23:28:42,10.240s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-25 23:28:32,2023-09-25 23:28:34,2.359s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 116.0.0.0,,,2023-09-25 23:28:34,2023-09-25 23:28:38,4.262s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Computers""))",Chrome 116.0.0.0,,,2023-09-25 23:28:38,2023-09-25 23:28:40,1.310s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Demo Web Shop. Computers/strong_Computers""), 0)",Chrome 116.0.0.0,,,2023-09-25 23:28:40,2023-09-25 23:28:40,0.374s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Demo Web Shop. Computers/h1_Computers""), ""Computers"")",Chrome 116.0.0.0,,,2023-09-25 23:28:40,2023-09-25 23:28:40,0.395s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-25 23:28:40,2023-09-25 23:28:42,1.182s,PASSED
,,,,,,,
Test Cases/Top Menu - Digital downloads,Chrome 116.0.0.0,,,2023-09-25 23:28:42,2023-09-25 23:28:52,10.454s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-25 23:28:42,2023-09-25 23:28:45,2.566s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 116.0.0.0,,,2023-09-25 23:28:45,2023-09-25 23:28:49,4.191s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Digital downloads""))",Chrome 116.0.0.0,,,2023-09-25 23:28:49,2023-09-25 23:28:50,1.295s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Demo Web Shop. Digital downloads/h1_Digital downloads""), 0)",Chrome 116.0.0.0,,,2023-09-25 23:28:50,2023-09-25 23:28:51,0.376s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Demo Web Shop. Digital downloads/h1_Digital downloads""), ""Digital downloads"")",Chrome 116.0.0.0,,,2023-09-25 23:28:51,2023-09-25 23:28:51,0.381s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-25 23:28:51,2023-09-25 23:28:52,1.164s,PASSED
,,,,,,,
